Departamento,Email Principal,Email Secundario,Email Alternativo,Año,Mes,Consumo de Gas,Lectura anterior Gas,Lectura Actual Gas,Consumo de Agua,Enviado
A1023,javo10portero@hotmail.com,vasogoma@gmail.com,,2017,4,750,7800,10000,500,Si
A1024,javo10portero@hotmail.com,vasogoma@gmail.com,,2017,8,950,7850,11000,700,Si
A1025,javo10portero@hotmail.com,vasogoma@gmail.com,,2018,12,1150,7900,10000,900,Si
A1027,javo10portero@hotmail.com,vasogoma@gmail.com,,2018,1,1350,7950,11000,1100,Si
A1027,javo10portero@hotmail.com,vasogoma@gmail.com,,2018,2,1550,8000,11000,1300,Si
A1027,javo10portero@hotmail.com,vasogoma@gmail.com,,2018,2,1750,8050,11200,1500,Si
A1029,javo10portero@hotmail.com,vasogoma@gmail.com,,2017,12,1950,8100,11400,1700,Si
A1030,javo10portero@hotmail.com,vasogoma@gmail.com,,2018,,2150,8150,11600,1900,
A1031,javo10portero@hotmail.com,vasogoma@gmail.com,,2018,,2350,8200,11800,2100,
A1704,javo10portero@hotmail.com,vasogoma@gmail.com,,2017,1,600,8250,12000,350,Si
A1705,javo10portero@hotmail.com,vasogoma@gmail.com,,2017,5,800,8300,12200,550,SI
A1706,javo10portero@hotmail.com,vasogoma@gmail.com,,2017,9,1000,8350,12400,750,Si
A1707,javo10portero@hotmail.com,vasogoma@gmail.com,,2018,1,1200,8400,,950,si
A1708,javo10portero@hotmail.com,vasogoma@gmail.com,,2018,1,1400,8450,12800,1150,si
A1709,javo10portero@hotmail.com,vasogoma@gmail.com,,2018,2,1600,8500,13000,1350,Si
A1710,javo10portero@hotmail.com,vasogoma@gmail.com,,2018,4,1800,,13200,1550,si
A1711,javo10portero@hotmail.com,vasogoma@gmail.com,,2018,5,2000,8600,13400,1750,Si
A1712,javo10portero@hotmail.com,vasogoma@gmail.com,,2018,,2200,8650,13600,1950,
A1713,javo10portero@hotmail.com,vasogoma@gmail.com,,2018,,2400,8700,13800,2150,
B1101,javo10portero@hotmail.com,vasogoma@gmail.com,,2017,2,650,8750,14000,400,SI
B1102,javo10portero@hotmail.com,vasogoma@gmail.com,,2017,6,850,8800,,600,SI
B1104,javo10portero@hotmail.com,vasogoma@gmail.com,,2018,1,1250,,14400,1000,si
B1105,javo10portero@hotmail.com,vasogoma@gmail.com,,2018,2,1450,8900,14600,1200,si
B1106,javo10portero@hotmail.com,vasogoma@gmail.com,,2018,2,1650,8950,14800,1400,Si
B1107,javo10portero@hotmail.com,vasogoma@gmail.com,,2018,4,1850,9000,,1600,no
B1108,javo10portero@hotmail.com,vasogoma@gmail.com,,2018,4,2050,9050,15200,1800,
B1109,javo10portero@hotmail.com,vasogoma@gmail.com,,2018,,2250,9100,15400,2000,
B1110,,vasogoma@gmail.com,,,,,9150,15600,,
C101,javo10portero@hotmail.com,vasogoma@gmail.com,,2017,3,700,9200,15800,450,SI
C102,javo10portero@hotmail.com,vasogoma@gmail.com,,2017,7,900,9250,16000,650,Si
C103,javo10portero@hotmail.com,vasogoma@gmail.com,,2018,4,1100,9300,16200,850,Si
C104,javo10portero@hotmail.com,vasogoma@gmail.com,,2018,1,1300,9350,16400,1050,si
C105,javo10portero@hotmail.com,vasogoma@gmail.com,,2018,2,1500,9400,16600,1250,Si
C106,javo10portero@hotmail.com,vasogoma@gmail.com,,2018,2,1700,9450,16800,1450,si
C107,javo10portero@hotmail.com,vasogoma@gmail.com,,2018,4,1900,9500,17000,1650,
C108,javo10portero@hotmail.com,vasogoma@gmail.com,,2018,4,2100,9550,17200,1850,
C109,javo10portero@hotmail.com,vasogoma@gmail.com,,2018,,2300,9600,17400,2050,
,javo10portero@hotmail.com,vasogoma@gmail.com,,2018,10,1050,9650,17600,800,no
